"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"3911","de","en","- Die Ziele, Verfahren und Aufgaben für PHE sind ergebnisorientiert.","- - PHE objectives, processes and tasks are geared towards outputs.",10,10
"3000","de","en","- Ein Informationsraum kann für tägliche Informationssitzungen mit Operativgruppen genutzt werden.","- A Briefing Room that can be used for daily briefings with operational groups.",14,11
"2979","de","en","- Ein PHE-Manager übernimmt die technische Leitung und Teamkoordinierung.","- A PHE manager concentrates technical leadership and team coordination;",10,9
"4508","de","en","- Einigung über die Rolle von Epidemic Intelligence in Europa","- agree on the role of EI in Europe",9,10
"3164","de","en","- Jegliche Kommunikation mit Auftraggebern, Partnern, Medien und der Öffentlichkeit erfolgt gemäß dem Notfall-Kommunikationsplan.","- All communications with constituents, partners, media and the public should be done in accordance with the emergency communication plan;",20,14
"4562","de","en","- Alle strategischen Entscheidungen werden unter Aufsicht des ECDC-Direktors getroffen.","- All strategic decisions should be taken under the oversight of the ECDC Director;",14,10
"4299","de","en","- Ein Beratungsraum wird im Fall eines PHE vom Strategieteam und für Informationssitzungen mit der Direktorin genutzt.","- An Internal Decision Room to be used upon an PHE by the Strategic Team and for briefings with the  Director.",21,17
"4310","de","en","- eine Katalysatorfunktion in der Forschung im Bereich Gesundheitswesen","- Being a public health research catalyst",7,9
"2587","de","en","- Mitorganisation der „Ausbildung der Ausbilder“-Workshops anlässlich der ESCAIDE-Konferenz am 18. und 22. November 2008","- Co-organiser of “ Training the Trainer” workshops around ESCAIDE on November 18 and 22, 2008",16,14
"3828","de","en","- Bedrohungen durch übertragbare Krankheiten bei Massenveranstaltungen","- Communicable disease threats at mass gatherings",7,7
"2697","de","en","- Übermittlung wesentlicher Mitteilungen und Informationen an die Medien und die europäische Öffentlichkeit.","- Communicating key public health messages and information to the media and to the European public.",16,13
"4254","de","en","- Kommunikation über Risiken mit Auftraggebern, Partnern, Medien und der Öffentlichkeit;","- Communicating on risk to constituents, partners, media and the public.",11,11
"3292","de","en","- Definition von Strategien, Instrumenten und Leitlinien zur Förderung der Abwehrbereitschaft der EU-Mitgliedstaaten in Bezug auf die Prävention und Bekämpfung übertragbarer Krankheiten;","- Define a strategy, tools and guidelines to enhance the preparedness of EU Member States for the prevention and control of communicable diseases;",23,22
"4157","de","en","- Definition des Mehrwerts, den das ECDC bei der Unterstützung der Mitgliedstaaten bieten kann.","- define the added value of ECDC in supporting MST",10,14
"4030","de","en","- Aufbau eines europäischen Netzwerks von Mikrobiologen im Bereich der öffentlichen Gesundheit;","- Develop a European network of public health microbiologists;",9,12
"3331","de","en","- Aufbau von Reaktionskapazitäten für Mikrobiologie innerhalb und außerhalb der Europäischen Union;","- Develop a response capacity for microbiology inside and beyond the European Union;",13,12
"2518","de","en","- Diskussion der Epidemic-Intelligence-Aktivitäten des ECDC und Formulierung von Empfehlungen für die Verbesserung von Instrumenten.","- discuss the ECDC EI activities and give recommendations for improvement of tools",13,15
"2607","de","en","- Effiziente Verbreitung der wissenschaftlichen und technischen Ergebnisse des ECDC in Fachkreisen.","- Efficiently communicate the scientific and technical output of the ECDC to professional audiences.",14,12
"2627","de","en","- Sicherstellung einer angemessenen und rechtzeitigen Reaktion im Fall von Bedrohungen der öffentlichen Gesundheit mit europäischer Dimension;","- Ensure an appropriate and timely response in case of public health threats with a European dimension;",17,17
"4380","de","en","- Sicherstellung einer EU-weiten Koordinierung der Risikobewertungsaktivitäten;","- Ensuring EU-wide coordination of risk assessment activities;",8,7
"2700","de","en","- einen persönlichen Kontakt mit den Personen herstellen, die bei den genannten Aktivitäten eine Schlüsselrolle spielen.","- Establish a personal contact with the persons who play a key role in the above mentioned activities.",18,16
"2748","de","en","- die Teilnehmer mit dem ECDC als europäischer Agentur, seinem Mandat, seiner internen Struktur und Organisation, seinen Funktionen und Werten vertraut machen;","- Familiarize with ECDC as a European agency, its mandate, its internal structure and organisation, its functions and values;",19,22
"4160","de","en","- durch übertragbare Krankheiten bedingte neu auftretende Risiken für die menschliche Gesundheit zu ermitteln;","- Identify and assess emerging threats to human health from communicable diseases;",12,14
"4487","de","en","- Kriterien für die Auswirkungen eines Ereignisses als Entscheidungsgrundlage über angemessene Ressourcen","- Impact criteria of an event for decision-taking on the allegiance of resources",13,12
"4444","de","en","- Leitungskompetenzen für Koordinatoren von Teams zur Untersuchung von Krankheitsausbrüchen (4 Kurse 2006-2008)","- Managerial skills for coordinators of outbreak investigation teams (4 editions 2006-2008)",12,13
"3175","de","en","- Mikrobiologische und epidemiologische Aspekte der Untersuchung von Krankheitsausbrüchen (Juni 2008)","- Microbiological and epidemiological aspects of outbreak investigation (June 2008)",10,11
"2966","de","en","- Der normale Betrieb in Bezug auf die Kernaufgaben des ECDC muss weitergehen, auch wenn die Prioritätensetzung ggf. angepasst werden muss.","- Normal operations regarding core ECDC missions must continue, although their level of priority may be adjusted;",17,21
"4467","de","en","- operative und Verwaltungstätigkeiten auf Projektbasis, z. B. Experten und Projektleiter für spezifische Projekte.","- Operational and administrative posts on project basis e.g. experts and project leaders assigned to specific projects",17,13
"3798","de","en","- Operative Stellen (technische Experten in den operativen Referaten)","- Operational posts (technical experts in the operational units)",9,9
"2434","de","en","- Vermeidung der Übertragung resistenter Stämme von Mensch zu Mensch","- prevent the spread of resistant strains between persons.",9,10
"3083","de","en","- die Etablierung als führendes Archiv für wissenschaftliche Informationen über Infektionskrankheiten","- Prime repository for scientific advice on infectious diseases",9,11
"2658","de","en","- die Erstellung von Leitlinien, Risikobewertungen, wissenschaftlichen Gutachten","- Produce guidance, risk assessments, scientific advice",7,8
"4608","de","en","- Programma de Epidemiologia Aplicada de Campo (PEAC)","- Programma de Epidemiologia Aplicada de Campo (PEAC)",8,8
"4106","de","en","- Programma di formazione in epidemiologia applicata (PROFEA)","- Programma di formazione in epidemiologia applicata (PROFEA )",9,8
"3997","de","en","- Programme de formation à l'épidémiologie de terrain (PROFET)","- Programme de formation à l'épidémiologie de terrain (PROFET)",9,9
"2890","de","en","- die Förderung, Initiierung und Koordinierung wissenschaftlicher Studien","- Promoting, initiating and coordinating scientific studies",7,8
"2669","de","en","- Zusammenfassende Darstellung und Kategorisierung der 2007 überwachten Bedrohungen durch übertragbare Krankheiten und Aufzeigen wesentlicher Probleme","- provide a summary of the threats related to communicable diseases which were monitored in 2007, categorize them, pinpoint major issues",21,16
