"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"2098","es","en","- Los objetivos, procesos y cometidos se orientarán hacia la obtención de resultados.","- - PHE objectives, processes and tasks are geared towards outputs.",10,13
"2355","es","en","- Una Sala de información que podrá utilizarse para reuniones diarias con los Grupos operativos y que podrá acoger hasta 25 personas.","- A Briefing Room that can be used for daily briefings with operational groups.",14,22
"469","es","en","- determinar el papel de la información epidemiológica en Europa;","- agree on the role of EI in Europe",9,10
"949","es","en","- Todas las decisiones estratégicas deberán ser adoptadas de conformidad con la Dirección del ECDC;","- All strategic decisions should be taken under the oversight of the ECDC Director;",14,15
"133","es","en","- Convertirse en catalizador de la investigación sobre salud pública","- Being a public health research catalyst",7,10
"954","es","en","- Coorganización de talleres de «Formación para formadores» en torno a ESCAIDE, del 18 al 22 de noviembre de 2008.","- Co-organiser of “ Training the Trainer” workshops around ESCAIDE on November 18 and 22, 2008",16,20
"1431","es","en","- Amenazas de enfermedades transmisibles en grandes reuniones públicas","- Communicable disease threats at mass gatherings",7,9
"1068","es","en","- Comunicar mensajes e información esencial en materia de salud pública a los medios de comunicación y al público europeo.","- Communicating key public health messages and information to the media and to the European public.",16,20
"583","es","en","- comunicará sobre los riesgos ante sus miembros, socios, medios de comunicación y el público en general.","- Communicating on risk to constituents, partners, media and the public.",11,17
"1650","es","en","- calcular el valor añadido del ECDC en el apoyo a los Estados miembros.","- define the added value of ECDC in supporting MST",10,14
"2311","es","en","- desarrollar una red europea de microbiólogos de salud pública;","- Develop a European network of public health microbiologists;",9,10
"1453","es","en","- desarrollar una capacidad de respuesta en el sector de la microbiología dentro y fuera de la Unión Europea;","- Develop a response capacity for microbiology inside and beyond the European Union;",13,19
"1451","es","en","- debatir sobre las actividades del ECDC en materia de información epidemiológica y formular recomendaciones para la mejora de las herramientas disponibles.","- discuss the ECDC EI activities and give recommendations for improvement of tools",13,22
"2339","es","en","- Comunicar de forma eficaz los resultados científicos y técnicos del ECDC al público profesional.","- Efficiently communicate the scientific and technical output of the ECDC to professional audiences.",14,15
"1437","es","en","- Misiones nacionales del Centro de Operaciones de Emergencia","- Emergency Operations Centre (EOC) Country Missions",7,9
"2040","es","en","- garantizar una respuesta adecuada y diligente en caso de amenazas para la salud pública a escala europea;","- Ensure an appropriate and timely response in case of public health threats with a European dimension;",17,18
"1981","es","en","- se encargará de la coordinación de las actividades de evaluación de riesgos a nivel europeo.","- Ensuring EU-wide coordination of risk assessment activities;",8,16
"1160","es","en","- establezca contacto directo con las personas que desempeñan un papel fundamental en las actividades citadas.","- Establish a personal contact with the persons who play a key role in the above mentioned activities.",18,16
"300","es","en","- identificar y evaluar las amenazas emergentes que determinadas enfermedades transmisibles representan para la salud;","- Identify and assess emerging threats to human health from communicable diseases;",12,15
"41","es","en","- Los criterios de impacto de un acontecimiento que permitan adoptar decisiones en relación con el reparto de recursos","- Impact criteria of an event for decision-taking on the allegiance of resources",13,19
"1424","es","en","- Habilidades de gestión para coordinadores de equipos de investigación en brotes (4 ediciones 2006-2008)","- Managerial skills for coordinators of outbreak investigation teams (4 editions 2006-2008)",12,15
"113","es","en","- Aspectos epidemiológicos y microbiológicos de la investigación de brotes (junio de 2008)","- Microbiological and epidemiological aspects of outbreak investigation (June 2008)",10,13
"2343","es","en","- El ECDC debe mantener sus misiones operativas habituales, aunque ajustando su grado de prioridad;","- Normal operations regarding core ECDC missions must continue, although their level of priority may be adjusted;",17,15
"1745","es","en","- puestos operativos y administrativos que guarden relación con proyectos, por ejemplo, expertos y jefes de proyecto asignados a proyectos específicos","- Operational and administrative posts on project basis e.g. experts and project leaders assigned to specific projects",17,21
"2001","es","en","- puestos operativos (expertos técnicos en el seno de las unidades operativas)","- Operational posts (technical experts in the operational units)",9,12
"768","es","en","- evitar la diseminación de cepas resistentes entre las personas.","- prevent the spread of resistant strains between persons.",9,10
"925","es","en","- Convertirse en la primera fuente de asesoramiento científico sobre enfermedades contagiosas","- Prime repository for scientific advice on infectious diseases",9,12
"1413","es","en","- Elaborar directrices, evaluaciones de riesgo, asesoramiento científico","- Produce guidance, risk assessments, scientific advice",7,8
"1086","es","en","- Programma de Epidemiologia Aplicada de Campo (PEAC)","- Programma de Epidemiologia Aplicada de Campo (PEAC)",8,8
