"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"5691","fr","en","- les objectifs, processus et tâches sont orientés vers l’obtention de résultats.","- - PHE objectives, processes and tasks are geared towards outputs.",10,12
"6248","fr","en","- Une salle d’information pourra être utilisée pour les réunions quotidiennes avec les groupes opérationnels.","- A Briefing Room that can be used for daily briefings with operational groups.",14,15
"4814","fr","en","- la direction des opérations et la coordination est assurée par un seul gestionnaire de menace sanitaire;","- A PHE manager concentrates technical leadership and team coordination;",10,17
"6972","fr","en","- de déterminer le rôle du renseignement épidémique en Europe","- agree on the role of EI in Europe",9,10
"4792","fr","en","- l’ensemble des communications avec les membres, les partenaires, les médias et avec le public doivent être conformes au plan de communication d’urgence;","- All communications with constituents, partners, media and the public should be done in accordance with the emergency communication plan;",20,23
"5406","fr","en","- toutes les décisions stratégiques doivent être prises en accord avec le directeur du CEPCM;","- All strategic decisions should be taken under the oversight of the ECDC Director;",14,15
"6242","fr","en","- Une salle de décision interne sera utilisée en cas de menace sanitaire par l’équipe stratégique et pour les réunions avec le directeur.","- An Internal Decision Room to be used upon an PHE by the Strategic Team and for briefings with the  Director.",21,23
"6585","fr","en","- Devenir un catalyseur pour la recherche dans le domaine de la santé","- Being a public health research catalyst",7,13
"6486","fr","en","- Organisation conjointe d’ateliers «Formation de formateurs» avec l’ESCAIDE, les 18 et 22 novembre 2008","- Co-organiser of “ Training the Trainer” workshops around ESCAIDE on November 18 and 22, 2008",16,15
"6247","fr","en","- Menaces de maladies transmissibles lors de rassemblements publics","- Communicable disease threats at mass gatherings",7,9
"5066","fr","en","- Délivrer des messages et des informations clés en matière de santé publique aux médias et au public européen.","- Communicating key public health messages and information to the media and to the European public.",16,19
"6973","fr","en","- communiquera sur les risques auprès de ses membres, de ses partenaires, des médias et du public;","- Communicating on risk to constituents, partners, media and the public.",11,17
"6200","fr","en","- de calculer la valeur ajoutée du CEPCM dans le soutien aux États membres","- define the added value of ECDC in supporting MST",10,14
"6769","fr","en","- développer un réseau européen de microbiologistes de la santé publique","- Develop a European network of public health microbiologists;",9,11
"6030","fr","en","- développer une capacité de réaction dans le secteur de la microbiologie à l’intérieur et à l’extérieur de l’Union européenne","- Develop a response capacity for microbiology inside and beyond the European Union;",13,20
"6295","fr","en","- de discuter des activités de renseignement épidémique du Centre et formuler des recommandations pour l’amélioration des outils disponibles","- discuss the ECDC EI activities and give recommendations for improvement of tools",13,19
"4903","fr","en","- communiquer efficacement les conclusions scientifiques et techniques du CEPCM au public professionnel.","- Efficiently communicate the scientific and technical output of the ECDC to professional audiences.",14,13
"5978","fr","en","- Missions nationales du Centre d’intervention urgente (CIU)","- Emergency Operations Centre (EOC) Country Missions",7,8
"5428","fr","en","- garantir une réaction appropriée et rapide en cas de menace pour la sanitaire d’envergure européenne;","- Ensure an appropriate and timely response in case of public health threats with a European dimension;",17,16
"6186","fr","en","- se chargera de la coordination des activités d’évaluation des risques au niveau européen;","- Ensuring EU-wide coordination of risk assessment activities;",8,14
"5248","fr","en","- de créer un contact direct avec les personnes qui jouent un rôle clé dans les activités précitées.","- Establish a personal contact with the persons who play a key role in the above mentioned activities.",18,18
"6411","fr","en","- recense et évalue les menaces émergentes que des maladies transmissibles représentent pour la santé;","- Identify and assess emerging threats to human health from communicable diseases;",12,15
"7078","fr","en","- les critères d’impact d’un événement qui permettent de prendre des décisions quant à la répartition des moyens","- Impact criteria of an event for decision-taking on the allegiance of resources",13,18
"5513","fr","en","- Compétences d’encadrement pour coordinateurs d’équipes d’enquête sur les foyers épidémiques (4 sessions 2006–2008)","- Managerial skills for coordinators of outbreak investigation teams (4 editions 2006-2008)",12,14
"5329","fr","en","- Aspects microbiologiques et épidémiologiques des enquêtes sur les foyers épidémiques (juin 2008)","- Microbiological and epidemiological aspects of outbreak investigation (June 2008)",10,13
"5836","fr","en","- les missions régulières du CEPCM doivent se poursuivre mais leur niveau de priorité doit être ajusté;","- Normal operations regarding core ECDC missions must continue, although their level of priority may be adjusted;",17,17
"5137","fr","en","- postes opérationnels et administratifs liés à des projets. Par exemple:","- Operational and administrative posts on project basis e.g. experts and project leaders assigned to specific projects",17,11
"6089","fr","en","- des postes opérationnels (experts techniques au sein des unités opérationnelles)","- Operational posts (technical experts in the operational units)",9,11
"6394","fr","en","- prévenir la propagation de souches résistantes entre les individus.","- prevent the spread of resistant strains between persons.",9,10
"4810","fr","en","- Devenir la première source d’avis scientifiques concernant les maladies infectieuses","- Prime repository for scientific advice on infectious diseases",9,11
"5475","fr","en","- Formuler des conseils, des évaluations de risques et des avis scientifiques","- Produce guidance, risk assessments, scientific advice",7,12
