"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"1","de","en","Abacavir zeigt in vitro in Kombination mit Nevirapin und Zidovudin synergistische Effekte.","Abacavir shows synergy in vitro in combination with nevirapine and zidovudine.",11,12
"2","de","en","Abbott Laboratories Limited Queenborough Kent ME11 5EL United Kingdom","Abbott Laboratories Limited Queenborough Kent ME11 5EL United Kingdom",9,9
"3","de","en","Abdominalschmerzen, Diarrhoe, Dyspepsie, Nausea, Erbrechen Erfahrungen aus der Zeit seit der Zulassung:","Common: abdominal pain, diarrhoea, dyspepsia, nausea, vomiting.",7,12
"4","de","en","Abfallmaterialien sind sicher zu entsorgen.","Waste material should be disposed of safely.",7,5
"5","de","en","Abgeschlossen im September 1998","Finalised in September 1998",4,4
"6","de","en","Abgesehen von einem Laktam Metaboliten ist die Identität anderer Metaboliten bei Katzen oder Hunden nicht bekannt.","Apart from one lactam metabolite, the identity of other metabolites is not known in cats or dogs.",17,16
"7","de","en","ABILIFY 10 mg Tabletten","ABILIFY 10 mg tablets",4,4
"8","de","en","Abilify ist ein Arzneimittel, das den Wirkstoff Aripiprazol enthält.","Abilify is a medicine containing the active substance aripiprazole.",9,9
"9","de","en","Abnahme der Leukozytenzahl (< 3.000/mm3) † ‡ * ○","White blood cell count decreased (< 3000/ mm³) × Λ *°",11,9
"10","de","en","Abraxane wird alleine, d. h. als Monotherapie, angewendet.","Abraxane is used on its own.",6,8
"11","de","en","Abschluss in Biochemie und Pharmakologie an der Universität Leeds.","Graduate in biochemistry and pharmacology from Leeds University.",8,9
"12","de","en","Abschluss in Medizin und Promotion in Entwicklungskardiologie an der Universität Leiden.","Qualified medical doctor from",4,11
"13","de","en","Abschnitt 4.8 und 5.1).","Co-administration of sildenafil and intravenous epoprostenol has been evaluated (see section 4.8 and 5.1).",14,4
"14","de","en","Abseamed 3000 I.E./0,3 ml Injektionszubereitung","Abseamed 3000 IU/ 0.3 ml injection",6,5
"15","de","en","Abseamed 8000 I.E./0,8 ml Injektionslösung in einer Fertigspritze","Abseamed 8000 IU/ 0.8 ml solution for injection in a pre-filled syringe",12,8
