"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"1","es","en","Actraphane 10 NovoLet 100 UI/ ml suspensión inyectable Insulina humana, (ADNr) Vía subcutánea","Actraphane 10 NovoLet 100 IU/ ml suspension for injection Insulin human (rDNA) SC use",14,13
"2","es","en","Actraphane 10 NovoLet que no se esté utilizando debe conservarse en nevera (entre 2°C y 8°C).","The NovoLet that is not being used is to be stored in a refrigerator (2°C - 8°C).",17,16
"3","es","en","Actraphane 30 FlexPen 100 UI/ ml suspensión inyectable en una pluma precargada","Actraphane 30 FlexPen 100 IU/ ml suspension for injection in a pre-filled pen.",13,12
"4","es","en","Actraphane 40 Penfill 100 UI/ ml suspensión inyectable en un cartucho","Actraphane 40 Penfill 100 IU/ ml suspension for injection in a cartridge.",12,11
"5","es","en","Actraphane se inyecta bajo la piel (administración subcutánea).","Actraphane is for injection under the skin (subcutaneously).",8,8
"6","es","en","Actrapid debe protegerse del calor y la luz solar excesivos.","Actrapid must be protected from excessive heat and sunlight.",9,10
"7","es","en","Actrapid FlexPen Capuchón de la pluma","Actrapid FlexPen Pen cap",4,6
"8","es","en","Actúa reduciendo la intensidad de la reacción alérgica.","It works by reducing the intensity of the allergic reaction.",10,8
"9","es","en","Actualmente se desconoce la causa y las consecuencias a largo plazo de estos cambios.","The cause and long-term health effects of these conditions are not known at this time.",15,14
"10","es","en","Actualmente se desconocen las consecuencias a largo plazo de estos acontecimientos.","The long-term consequences of these events are currently unknown.",9,11
"11","es","en","ad de hemoglobina necesario para controlar los síntomas de la anemia.","th in patients with anaemia associated with cancer.",8,11
"12","es","en","Adalimumab es un anticuerpo monoclonal humano recombinante expresado en células de Ovario de Hámster Chino.","ris Adalimumab is a recombinant human monoclonal antibody expressed in Chinese Hamster Ovary cells.",14,15
"13","es","en","Además de los estudios de toxicología reproductiva, se han llevado a cabo los siguientes estudios con BOTOX:","Other studies In addition to the reproductive toxicology, the following preclinical safety studies of BOTOX have been performed:",18,17
"14","es","en","Además puede pasar a la leche materna y llegar a su bebé.","Also, it can pass into the breast milk and can reach your baby.",13,12
"15","es","en","Además, dasatinib inhibe las kinasas de la familia SRC a concentraciones subnanomolares.","Additionally, dasatinib inhibits SRC family kinases at subnanomolar concentrations.",9,12
"16","es","en","Además, debe presentarse un Plan de Gestión del Riesgo actualizado","In addition, an updated RMP should be submitted",8,10
"17","es","en","Además, el 81% de estos episodios hemorrágicos necesitaron sólo una única perfusión de Advate.","In addition, 81% of these bleeding episodes required only a single treatment with Advate.",14,14
"18","es","en","Además, invierte parcialmente la reducción de corrientes dependientes de GABA y glicina inducidas por zinc y ß-carbolinas.","In addition, it partially reverses the reductions in GABA- and glycine-gated currents induced by zinc and β -carbolines.",18,17
"19","es","en","Además, la presencia de esta sóla mutación, no afectó la respuesta en el brazo de INTELENCE.","Furthermore, the presence of this mutation alone did not affect the response in the INTELENCE arm.",16,16
"20","es","en","Además, la selección de L74V y K65R se redujo cuando se coadministró con ZDV (K65R: sin ZDV:","In addition, the selection of L74V and K65R was reduced when co-administered with ZDV (K65R: without ZDV:",17,17
"21","es","en","Además, podrá celebrarse una reunión extraordinaria del CPMP en caso necesario.","The electronic CTD format was approved in 2002 through the trilateral EU-Japan-US International Conference",14,11
"22","es","en","ADHIERA AQUÍ LA ETIQUETA CON CÓDIGO DE BARRAS","AFFIX BAR-CODE LABEL HERE",4,8
"23","es","en","Administración concomitante con ciclosporina A (ver sección 4.5).","Concomitant administration with ciclosporin A (see section 4.5).",8,8
"24","es","en","administrándose insulina de acción rápida junto con las comidas.","In patients with diabetes mellitus optimised glycaemic control delays the onset and slows the Me",15,9
"25","es","en","Administrar con alimento o directamente en la boca.","To be administered with food or directly into the mouth.",10,8
"26","es","en","Administrar únicamente a perros en ayunas.","Administer only to fasted dogs.",5,6
"27","es","en","Adminístrese la inyección de Avonex justo antes de acostarse.","Use your Avonex injection just before bedtime.",7,9
"28","es","en","ADMINSTRACIÓN CADA 2 SEMANAS.","ADMINSTRATION EVERY 2 WEEKS.",4,4
"29","es","en","ADN del VHB indetectable (< 300 copias/ ml por PCR)c","Viral load reduction (log10 copies/ ml)c HBV DNA undetectable (< 300 copies/ ml by PCR)c",15,10
"30","es","en","Adoptada en abril de 1996","Adopted in April 96",4,5
"31","es","en","Adoptada en junio de 1997","Adopted in June 1997",4,5
"32","es","en","Adoptado en noviembre de 2001 Publicado para consulta en febrero de 2001","November 2001 EMEA Annual Report 2001",6,12
"33","es","en","adsorbido en fosfato de aluminio (AlPO4)","adsorbed on aluminium phosphate (AlPO4)",5,6
"34","es","en","Adultos y adolescentes de 12 y más años de edad:","Adults and adolescents 12 years and older:",7,10
"35","es","en","Adultos, adolescentes (12 años y mayores) y niños (de 6 a 11 años)","Adults, adolescents (12 years and over) and children (6 – 11 years)",12,13
