"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"1","fr","en","À administrer en fonction de l’ évaluation par le vétérinaire responsable du rapport bénéfice-risque.","Use only according to the risk-benefit assessment by the responsible veterinarian.",11,14
"2","fr","en","À administrer mélangé à l’ alimentation.","To be administered mixed with food.",6,6
"3","fr","en","A chaque début d’ administration de dose, IONSYS émettra un bip sonore.","You will hear IONSYS beep once each time you start a dose.",12,12
"4","fr","en","A chaque injection d'insuline, vous devez changer de point de piqûre au sein d'une zone cutanée donnée.","With each injection, change the puncture site within the particular area of skin that you are using.",17,17
"5","fr","en","A compléter si besoin","To be completed as appropriate.",5,4
"6","fr","en","A conserver et transporter réfrigéré (entre 2°C et 8°C).","Store and transport refrigerated (2°C – 8°C).",7,9
"7","fr","en","A conserver réfrigéré (entre + 2°C et + 8°C).","Store refrigerated (2°C to 8°C).",5,9
"8","fr","en","A d o p t é e n a v r il 1998","Adopted in April 1998",4,13
"9","fr","en","A diluer avant utilisation intraveineuse.","Dilute prior to intravenous use.",5,5
"10","fr","en","À doses plus élevées, il permet de contrôler un système immunitaire anormal et de moduler la réponse immunitaire.","At higher doses, it can help to adjust an abnormal immune system and modulate the immune response.",17,18
"11","fr","en","A l’ inclusion, 87% des patients avaient des fistules périanales, 14% des fistules abdominales, 9% des fistules rectovaginales.","At baseline, 87% of the patients had perianal fistulae, 14% had abdominal fistulae, 9% had rectovaginal fistulae.",17,18
"12","fr","en","A l’aide d’une main, pincez un pli de peau molle.","With one hand, pinch a fold of loose skin.",9,10
"13","fr","en","A la fin de la perfusion, les Cmax du régio-isomère BPD-MAD obtenues étaient supérieures à celles du BPD-MAC.","Cmax values obtained at the end of infusion were higher for BPD-MAD than for BPD-MAC.",15,18
"14","fr","en","A la suite de ce diagnostic, Tasmar doit être immédiatement arrêté et le patient étroitement surveillé.","Under such a diagnosis Tasmar should be immediately discontinued and the patient should be followed up closely.",17,16
"15","fr","en","A noter que les données ci-dessous concernant les interactions avec l’ amprénavir ont été obtenues chez l’ adulte.","Of note, the following interaction data was obtained in adults.",10,18
"16","fr","en","A partir de 3 semaines d’ âge:","Chickens 3 weeks of age or older:",7,7
"17","fr","en","A prendre en compte en cas de régime pauvre en sel.","To be taken into consideration by patients on a controlled sodium diet.",12,11
"18","fr","en","A protéger de la lumière.","Do not freeze Protect from light.",6,5
"19","fr","en","À quel stade en était l’ évaluation lors du retrait de la demande?","How far into the evaluation was the application when it was withdrawn?",12,13
"20","fr","en","A quoi ressemble DaTSCAN et contenu de l’emballage extérieur","What DaTSCAN looks like and contents of the pack",9,9
"21","fr","en","A quoi ressemble Irbesartan Hydrochlorothiazide Winthrop et contenu de l'emballage extérieur","What Irbesartan Hydrochlorothiazide Winthrop looks like and contents of the pack",11,11
"22","fr","en","A quoi ressemble MabCampath et contenu de l’emballage extérieure","What MabCampath looks like and contents of the pack",9,9
"23","fr","en","A tenir hors de la portée et de la vue des enfants.","Keep out of the reach and sight of children.",9,12
"24","fr","en","A TITULAIRE DE L’ AUTORISATION DE FABRICATION RESPONSABLE DE LA LIBÉRATION DES LOTS","MANUFACTURING AUTHORISATION HOLDER(S) RESPONSIBLE FOR BATCH RELEASE",7,13
"25","fr","en","A usage unique seulement.","For single use only.",4,4
"26","fr","en","À usage vétérinaire - à ne délivrer que sur ordonnance vétérinaire.","For animal treatment only - to be supplied only on veterinary prescription.",12,11
"27","fr","en","a) Gélule b) 200mg c) 1 Présentation","C apsule 200mg 1 Presentation",5,7
"28","fr","en","a) VO9IB03 b) Diagnostic de l'Adino-","VO9IB03 Diagnosis of Ovarian",4,6
"29","fr","en","Abbott OY Pihatörmä 1A/Gårdsbrinken 1B FIN-02240 Espoo/Esbo","Suomi/Finland Abbott OY Pihatörmä 1A/Gårdsbrinken 1B",6,7
"30","fr","en","Abonnements aux journaux et périodiques","Subscriptions to newspapers and periodicals",5,5
"31","fr","en","Abraxane vous sera administré par un médecin ou un personnel infirmier par perfusion intraveineuse.","Abraxane will be given to you by a doctor or nurse into a vein from an intravenous drip.",18,14
"32","fr","en","Abseamed 10 000 UI/ 1 ml, solution injectable en seringue pré-remplie","Abseamed 10 000 IU/ 1 ml solution for injection in a pre-filled syringe",13,11
"33","fr","en","Abseamed 5 000 UI/ 0,5 ml, solution injectable en seringue pré-remplie","Abseamed 5000 IU/ 0.5 ml solution for injection in a pre-filled syringe",12,11
"34","fr","en","Abseamed contient une hormone appelée époétine alfa qui stimule la production des globules rouges.","Abseamed contains a hormone called epoetin alfa, which stimulates the production of red blood cells.",15,14
"35","fr","en","Absorption Après administration sous-cutanée, le fondaparinux est entièrement et rapidement absorbé (biodisponibilité absolue 100%).","ho Absorption After subcutaneous dosing, fondaparinux is completely and rapidly absorbed (absolute bioavailability 100%).",14,14
"36","fr","en","Absorption L’ absorption de la rispéridone est complète après administration de RISPERDAL CONSTA.","Absorption The absorption of risperidone from RISPERDAL CONSTA is complete.",10,13
"37","fr","en","Absorption L’ absorption de la rivastigmine libérée par les dispositifs transdermiques de Prometax est lente.","Absorption Absorption of rivastigmine from Prometax transdermal patches is slow.",10,15
