"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"1001","de","en","· 3T-MRT mit dedizierter Spule ist die Methode der Wahl zur Abklärung der kraniomandibulären Dysfunktion..","· 3T-MRI using a dedicated coil is the method of first choice in the examination of CMD syndrome..",18,15
"1086","de","en","· Zusätzliche Evidenz von kommenden randomisierten Studien zu erwarten.","· Additional evidence expected from future randomized trials.",8,9
"1082","de","en","· Suffiziente Diagnostik essenziell zur Einordnung und Therapiefindung bei PAVK.","· Adequate diagnostic examination is essential for the classification and strategy of therapy in PAD.",15,10
"920","de","en","· Angiografiesimulatoren sind in studentischer Lehre, ärztlicher Ausbildung und Forschung sinnvoll einsetzbar..","· Angiography simulators are useful in teaching students, medical training and research..",12,12
"1047","de","en","· Anhand der Füllungsgeschwindigkeit der Kollateralen kann der Kollateralisierungs-Status bei akutem Schlaganfall bestimmt werden..","· Collateral supply in anterior circulation stroke can be defined by the velocity of collateral filling.",16,14
"1085","de","en","· Primär endovaskulärer Ansatz bei supra- und infrainguinalen Läsionen.","· Endovascular-first approach in supra- and infrainguinal lesions.",8,9
"841","de","en","· Erfahrene Radiologen verbessern die Erkennungsraten durch gezielte Inspektion klinisch wichtiger Regionen..","· Experienced radiologists improve detection rates through targeted inspection of clinically important regions..",13,12
"842","de","en","· Erfahrene Radiologen reduzieren den Zeitaufwand für die Analyse durch gezielte visuelle Aufmerksamkeit..","· Experienced radiologists reduce time spent on analysis through focused visual attention..",12,13
"923","de","en","· Zukünftige Entwicklungen sollten auch den Nutzen für erfahrene Interventionalisten erhöhen..","· Future developments should also increase the benefit for experienced interventionalists..",11,11
"818","de","en","· HIFU unterscheidet sich durch seinen nichtinvasiven Zugang und die geringe Nebenwirkungsrate..","· HIFU differs based on its noninvasive approach and low complication rate..",12,12
"819","de","en","· Mit HIFU ist eine effektive, anhaltende Schmerzlinderung in > 80 % der Patienten möglich..","· HIFU enables effective long-lasting pain relief in > 80 % of patients..",11,13
"820","de","en","· Die HIFU-assoziierte Schmerzreduktion ist unabhängig vom Tumorstadium und Metastasierungsstatus..","· HIFU-associated pain relief is independent of tumor stage and metastatic status..",12,10
"924","de","en","· Perspektivisch ist die Integration von Simulatoren in Zertifizierungsprogramme (z. B. DEGIR) anzustreben..","· Integration of simulators into certification programs (e. g. DEGIR) is to be targeted in the future..",16,12
"1084","de","en","· Ausschöpfung konservativer sowie medikamentöser Therapie vor Intervention im Stadium der intermittierenden Claudicatio.","· Interventional therapy of intermittent claudication after exhaustion of conservative and medicamentous therapy.",13,13
"1088","de","en","· Kersting J, Kamper L, Das M et al.","· Kersting J, Kamper L, Das M et al.",8,8
"926","de","en","· Kreiser K, Gehling K, Zimmer C. Simulation in Angiography – Experiences from 5 Years Teaching, Training, and Research.","· Kreiser K, Gehling K, Zimmer C. Simulation in Angiography - Experiences from 5 Years Teaching, Training, and Research.",19,19
"921","de","en","· Die Verknüpfung eines Simulators unmittelbar in eine Angiografiesuite erhöht den Realitätsgrad nochmals deutlich..","· Linking a simulator to an angiography suite increases the degree of reality even further..",15,14
"822","de","en","· Marinova M, Wilhelm-Buchstab T, Strunk H. Advanced Pancreatic Cancer: High-Intensity Focused Ultrasound (HIFU) and Other Local Ablative Therapies.","· Marinova M, Wilhelm-Buchstab T, Strunk H. Advanced Pancreatic Cancer: High-Intensity Focused Ultrasound (HIFU) and Other Local Ablative Therapies.",19,19
"796","de","en","· Medium: SWE in flüssigem Medium, „Black-Hole-Phänomen“, pseudoflüssige Läsionen, muskulotendinöse Anisotropie, intrinsische Steifigkeitsschwankungen der Sehnen und Muskeln, Tiefe der Analyse, Bewegungsartefakte.","· Medium: SWE in liquid medium, ""black hole phenomenon"", pseudo-liquid lesions, musculotendinous anisotropy, intrinsic stiffness variations of tendons and muscles, depth of analysis, movement artifacts.",25,21
"991","de","en","· Die native T1-Zeit korreliert zu kardialen und erkrankungsspezifischen Biomarkern..","· Native T1 shows promising correlation to cardiac and Fabry-specific biomarkers..",11,10
"990","de","en","· Die native T1-Zeit ist bei Patienten mit Morbus Fabry signifikant niedriger..","· Native T1 values are significantly decreased in Fabry disease..",10,12
"797","de","en","· Anwender: Parameter der Kompression, Erfassung und Messung der „region-of-interest“ (ROI-Größe, Position der ROI, Aufnahmedauer des Elastogramms).","· Operator: Region of interest compression, acquisition and measurement parameters (ROI size, ROI location, elastogram acquisition time).",17,17
"922","de","en","· Reale Patientenfälle können geübt und damit kann die Patientensicherheit erhöht werden..","· Real patient cases can be practiced and thus patient safety can be increased..",14,12
"1048","de","en","· Die relative Anflutungsverzögerung (rFTD) kann zur quantitativen Bestimmung der Kollateralisierung dienen und korreliert mit dem morphologischen Kollateralisierungs-Status..","· Relative filling time delay (rFTD) can serve for quantitative measurement of collateral flow and correlates with the morphological extent of collaterals.",22,18
"1003","de","en","· Ergebnis der Studie relevant für klinisches Verständnis und Therapie der CMD..","· Results of the study are relevant for the clinical assessment and therapy of CMD syndrome..",16,12
"816","de","en","· Zur lokalen Behandlung des nicht operablen Pankreaskarzinoms stehen unterschiedliche ablative Therapien zur Verfügung..","· Several ablative therapies are available for the local treatment of inoperable pancreatic cancer..",14,14
"1005","de","en","· Stimmer H, Ritschl L, Goetz C et al.","· Stimmer H, Ritschl L, Goetz C et al.",8,8
"1083","de","en","· Therapieentscheidung idealerweise in interdisziplinärer Fallkonferenz.","· Therapeutic decisions are ideally made in an interdisciplinary conference.",10,6
"1002","de","en","· Statistisch hochsignifikanter Zusammenhang zwischen degenerativen Veränderungen des Diskus bzw. des Gelenkknorpels und Synovialitis..","· There is a highly significant correlation between degenerative changes of the disc or cartilage and synovitis..",17,14
"817","de","en","· Die Tumormassenreduktion und Symptomlinderung stellen Hauptziele der lokalen Tumortherapie dar..","· Tumor mass and symptom reduction are main goals of local therapies..",12,11
"850","de","en","01) aller untersuchten klinischen Parameter zur myoelektrischen Steuerung einer Prothese erzielt werden.","01) in all examined clinical parameters for myoelectric control of a prosthesis could be achieved.",15,12
"1112","de","en","195 Dekompressionsoperationen an 127 Patienten wurden eingeschlossen.","127 patients who underwent 195 orbital decompressions were included.",9,7
"793","de","en","Die 2D-Scherwellen-Elastografie (2D-SWE) ist die neueste Entwicklung in der Elastografie und ermöglicht die quantitative Beurteilung der mittleren Steifigkeit in Echtzeit.","2 D shear wave elastography (2D-SWE) is the latest evolution of elastography techniques and allows real-time quantitative assessment of the medium stiffness.",21,20
"775","de","en","2. Eine 54-jährige kaukasische Frau mit einer heterozygoten Mutation (p.[K611Nfs*6],p.[Q567*]) wurde 40 Jahre betreut.","2. A 54-year-old Caucasian woman with a heterozygous mutation [p.(K611Nfs*6), p.(Q567*)] who was followed for 40 years.",17,14
"776","de","en","3. Ein 46 Jahre alter junger Mann (S.[E271K], S.[R627_E631del]).","3. A 46-year-old Caucasian male [p.(E271K), p.(R627_E631del)].",7,9
"1038","de","en","Retrospektiv wurden 50 Patienten mit akutem M1-Verschluss, bei denen nach Anfertigung eines multimodalen CTs eine DSA zur mechanischen Re-Kanalisation erfolgte, untersucht.","50 consecutive patients with acute occlusion in the M1 segment who underwent DSA for subsequent mechanical recanalization after multimodal CT were retrospectively analyzed.",23,21
"1151","de","en","Eine 24-Stunden-Blutdruckmessung mit besonderem Augenmerk auf das nächtliche Dipping des Blutdrucks ist für alle Glaukompatienten empfehlenswert.","A 24-h ambulatory blood pressure monitoring with particular attention to the nocturnal dipping is recommended for all glaucoma patients.",19,16
"1077","de","en","Zudem ist eine enge Zusammenarbeit zwischen interventioneller Radiologie und Gefäßchirurgie der Schlüssel zum Erfolg.","A close cooperation between the interventional radiologist and the vascular surgeon is the key to success.",16,14
"987","de","en","Offensichtlich reflektiert eine pathologische native T1-Zeit eine kardiale Beteiligung bei FD-Patienten.","A pathologic cardiac native T1 time obviously reflects cardiac involvement in the scope of FD at tissue level.",18,11
"1079","de","en","Die primär endovaskuläre Vorgehensweise ist mittlerweile bei der Mehrzahl auch komplexer Läsionen der Becken-Bein-Achse zum Standard geworden.","A primarily endovascular-first strategy has become the standard in the majority of even complex lesions of the lower extremity arterial system.",21,17
"830","de","en","Anonymisierte CT-Bilder von 20 Patienten mit Verdacht auf einen Schlaganfall wurden 12 Radiologen mit unterschiedlicher Berufserfahrung individuell präsentiert.","A set of anonymous CT images of 20 patients, with a suspected stroke, was individually presented to 12 radiologists with different levels of professional experience.",25,18
"957","de","en","Insgesamt wurden 100 konsekutive Patienten mit Anzeichen einer obstruktiven Sialadenopathie untersucht.","A total of 100 consecutive patients with signs of obstructive sialadenopathy were evaluated.",13,11
"1158","de","en","Integrale Voraussetzung für eine vitale Kooperation sind die zeitnahe standardisierte Dokumentation im internetbasierten System und definierte Versorgungsstrategien.","A viable cooperation requires timely, standardised documentation in an internet-based system as well as defined strategies for the provision of care.",21,17
"1165","de","en","Die Tonsillektomie zählt zu den in Deutschland am häufigsten durchgeführten Operationen, deren gefährlichste Komplikation vor allem für Kinder die Nachblutung darstellt.","Adenotonsillectomy is one of the most common surgical procedures in Germany and the most critical postoperative complication is postoperative hemorrhage, particularly for children.",23,21
"1030","de","en","Durch die Direktnaht nach Spitzy konnte im Kindesalter eine niedrige Rezidivquote von 1,1% (n = 4) erzielt werden.","After direct Spitzy suture, a low recurrence rate of 1.1% (n = 4) in infancy could be achieved.",16,16
"849","de","en","Nach dem Training mit der App konnte eine signifikante Verbesserung (p < .","After training with the app, a significant improvement (p < .",9,11
"777","de","en","Alle bemerkten einen Beginn in der Kindheit und klagten über Nachtblindheit und Photophobie.","All had noted an onset in childhood and complained of night blindness and photophobia.",14,13
"982","de","en","Zudem wurden die linksventrikuläre Funktion und Morphologie, das Vorhandensein einer Kontrastmittelspätanreicherung sowie cTnI- und Lyso-Gb3-Laborwerte ausgewertet.","Also functional parameters, left ventricular morphology, presence of late-gadolinium enhancement, cTnI- and Lyso-Gb3-Levels were evaluated.",15,16
"791","de","en","Auch zeigten sich keine Zusammenhänge zwischen Ressourcen bzw. früher Traumatisierung und der Reduktion der psychopathologischen Symptomatik.","Also, there was no significant association between resources or childhood trauma and therapy outcome.",14,16
"1159","de","en","Obwohl verschiedene pathophysiologische Erklärungen existieren (vaskuläre Dysregulation, Rolle der Lamina cribrosa) kann keine Theorie die Pathophysiologie schlüssig erklären.","Although there are several pathophysiological explanations (e. g. vascular dysregulation, the role of the lamina cribrosa), none of these explanations can fully explain its pathophysiology.",24,18
"961","de","en","Unter den wenigen falsch negativen Befunden (5,4 %) waren 71,8 % auf distale Sialolithiasis zurückzuführen.","Among the few false-negative findings (5.4 %), 71.8 % were due to distal sialolithiasis.",12,13
"813","de","en","Eine effektive und langanhaltende Reduktion von Tumorschmerzen ohne Einführen von Nadeln oder Elektroden in den Tumorbereich bietet ausschließlich das HIFU-Verfahren.","An effective and long-lasting reduction of cancer-related pain was observed following HIFU without insertion of needles or electrodes.",18,20
"782","de","en","Neben der Unterstützung durch optische Hilfsmittel wie Polarisationsfilter oder Vergrößerungshilfen ist insbesondere im Hinblick auf neu aufkommende genetische Behandlungsmöglichkeiten eine spezifische Diagnostik wichtig.","Apart from helping patients with optical aids, such as polarizing filters or magnification, a specific diagnosis is especially important in view of emerging genetic treatment options.",26,23
"1049","de","en","Daher sind adäquate prophylaktische Maßnahmen sowie eine frühzeitige Diagnose und Therapie essenziell.","Appropriate prophylaxis as well as early diagnosis and treatment are therefore mandatory.",12,12
