"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"699","es","en","Se incluyeron 1028 pacientes.",". A total of 1028 patients were included.",8,4
"573","es","en","Enfermedad de Lafora: revision de la bibliografia.","[Lafora disease: a review of the literature].",7,7
"409","es","en","Traduccion y validacion al castellano de la Burke Lateropulsion Scale para la valoracion del comportamiento empujador.","[Spanish translation and validation of the Burke Lateropulsion Scale to measure pusher behaviour].",13,16
"408","es","en","000. Se discute el rol intermediario potencial de la negligencia emocional en el desarrollo de DSO y TEPTC.","001. The potential intermediary role of emotional neglect in the development of DSO and CPTSD is discussed.",17,18
"407","es","en","013, y reportar un mayor número de experiencias traumáticas, p = .","013, and to report a higher number of traumatic experiences, p < .",13,12
"486","es","en","05), así como la atención sostenida a las caras enojadas y niveles más altos los síntomas de re-experimentación (r = 0.24, p <.","05) as well as sustained attention to angry faces and higher levels of re-experiencing symptoms (r = 0.24, p < .",17,23
"520","es","en","10; y mejores recursos sociales, rs = -.","10; and better social resources, rs = -.",8,8
"516","es","en","18; duración / intensidad del tratamiento, r = .","18; treatment duration/intensity, r = .",6,9
"515","es","en","19; gravedad de la enfermedad, r = .","19; illness severity, r = .",6,8
"519","es","en","19; más tiempo desde el tratamiento activo, r = -.","19; longer time since active treatment, r = -.",9,10
"517","es","en","21; y SEPT del niño, r = .","21; and PTSS of the child, r = .",9,8
"518","es","en","34. En contraste, mayor duración de la enfermedad, r = -.","34. In contrast, longer illness duration, r = -.",9,11
"731","es","en","Se presenta a una paciente femenina de 24 meses de edad con historia de retardo psicomotor y hallazgos imagenológicos compatibles con leucodistrofia.","A 24 months old female patient with psychomotor retardation history and imaging findings compatible with leukodystrophy is presented.",18,22
"499","es","en","Mujer de 29 años que ingresó al hospital debido a una tumoración no dolorosa de crecimiento rápido y progresivo sobre la región frontal del cráneo.","A 29-year-old female patient who entered the hospital due to a non-painful, rapidly growing, progressive tumor on the frontal region of the skull.",23,25
"545","es","en","Se realizó un estudio transversal analítico con estudio de datos secundarios.","A cross-sectional study of secondary data analysis was conducted.",9,11
"707","es","en","Se realizó un estudio retrospectivo descriptivo de los pacientes diagnosticados de tumor neuroendocrino pancreático.","A descriptive retrospective study of patients diagnosed with pancreatic neuroendocrine tumor was performed.",13,14
"394","es","en","Se realizó un estudio descriptivo, y un análisis de regresión logística para examinar la asociación entre el sexo y las consecuencias del cuidado.","A descriptive study was performed, and a logistic regression analysis was carried out to examine the association between sex and the consequences attributable to care.",25,23
"614","es","en","Un experimento multianual demostró que las moscas negras reducen el éxito de anidación de las grullas al ahuyentar a las aves incubadoras de sus nidos.","A multiyear experiment demonstrated that black flies reduce nest success in cranes by driving incubating birds off their nests.",19,25
"654","es","en","En el análisis de regresión de Cox, un valor de qSOFA 2-3 fue el único factor asociado de forma independiente a mayor mortalidad.","A qSOFA score of 2-3 points was the only independent variable associated with mortality in the Cox model.",18,23
"621","es","en","Un encargado razonable podría entonces elegir de entre cualquier otra de las alternativas de manejo que consideramos.","A rational decision maker could choose any other management alternative we considered.",12,17
"558","es","en","Se realizó una revisión de 35 casos en edad pediátrica publicados en PubMed entre los años 2000 y 2015, y se analizaron los diferentes abordajes terapéuticos.","A review of 35 pediatric patients published on PubMed between 2000 and 2015 was performed and different therapeutic approaches in pediatric patients were analyzed.",24,26
"651","es","en","Se incluyeron 322 pacientes (edad media de 61 años).","A total of 322 patients with a mean age of 61 years were included.",14,9
"633","es","en","Fueron asistidas un total de 382782 consultas ambulatorias; 3367 (0,88 %) correspondieron a consultas por varicela; el 57,6 %, < 4 años.","A total of 382 782 outpatients were seen; 3367(0.88%) corresponded to visits due to varicella; 57.6 % were < 4 years old.",22,22
"608","es","en","La aceptación de la vacuna contra el VPH fue alta en hombres y mujeres,independientemente del estado de VIH.","Acceptance of HPV-vaccine was high in men and women regardless of HIV status.",13,18
"511","es","en","Trasel cribado con un diario miccional, la UF-EMG+RPMpodrían ser útiles para detectar a estos pacientes y plantearun tratamiento que mejore el vaciado vesical previoa la cirugía.","After screening with a VD, UF-EMG+ RPM combination could be useful to detect these patientsand propose a treatment that improves bladdervoiding function prior to surgery.",25,26
"401","es","en","Aunque se asume que el TEPTC es el resultado de la exposición a eventos traumáticos complejos, la negligencia emocional puede ser un contribuyente.","Although CPTSD is assumed to result from exposure to complex traumatic events, emotional neglect may be an important contributor.",19,23
"472","es","en","Se detalla un modelo de procedimiento de actuación para su puesta en marcha, de forma segura y que a la vez contribuya a humanizar el nacimiento.","An actuation procedure model is detailed, for its implementation in a safe manner and that at the same time, contribute to humanize the birth.",24,26
"697","es","en","Se analizó la relación entre 42 variables y RV-7d y RV-H-30d mediante regresión logística multivariable.","Associations between 42 variables and 7-day and 30-day revisits to the ED were analyzed by multivariable logistic regression.",18,15
"635","es","en","Presentaron bacteriemia 5/67 (7,5 %), todas por cocos Gram(+) y en inmunocompetentes.","Bacteremia developed in 5/67 patients (7.5 %), all cases were caused by Gram-positive cocci and occurred in immunocompetent patients.",19,12
"512","es","en","Sobre la base de una búsqueda sistemática en bases de datos electrónicas, se incluyeron 184 estudios en el metanálisis.","Based on a systematic search in electronic databases, 184 studies were included in the meta-analysis.",15,19
"491","es","en","Con la información obtenida se desarrollaron análisis descriptivos, de varianza y correlacionales, así como un modelo de ecuaciones estructurales.","Based on the information obtained, descriptive, variance and correlation analyzes were developed, as well as a structural equations model.",19,19
"728","es","en","Dentro de sus formas de manifestación, la infantil tardía es la de peor pronóstico.","Between its manifestation forms, the one presenting in late childhood has the worst prognosis.",14,14
"723","es","en","Las eritropoyetinas PEGiladas ramificadas presentaron semividas significativamente superiores a ior®EPOCIM (p<0.05), pero no fueron estadísticamente diferentes a MIRCERA®.","Both branched PEGylated erythropoietin forms exhibited half-lives that were significantly longer than ior®EPOCIM (p<0.05), but not statistically different to MIRCERA®.",20,18
"726","es","en","Ambas formas ramificadas de rHuEPO PEGiladas son candidatos prometedores para su uso clínico.","Both of the branched PEGylated-EPO forms tested are promising candidates for human testing.",13,13
"406","es","en","Comparado con la clase de baja probabilidad, los individuos de la clase TEPTC tenían más probabilidad de ser mujer, p = .","Compared to the low endorsement class, individuals in the CPTSD class were more likely to be female, p = .",20,22
"400","es","en","Considerando la organización del cuidado en esta provincia, será necesario el diseño de acciones de mejora más adecuadas a las necesidades de las personas cuidadoras.","Considering the organization of care in this province, it will be necessary to design improvement actions more suited to the needs of caregivers.",23,25
"404","es","en","Contrario a nuestra hipótesis, no se encontró ninguna clase de sólo DSO.","Contrary to our hypothesis, no DSO-only class was found.",9,12
"679","es","en","Las craneosinostosis se describen como la fusión prematura de las suturas craneales y resultan un grupo de alteraciones que producen un fenotipo anormal.","Craniosynostosis is described as the premature fusion of cranial sutures that belongs to a group of alterations which produce an abnormal phenotype.",22,23
"579","es","en","En la actualidad no existe un tratamiento que erradique o prevenga su desarrollo.","Currently, there is no treatment to cure or prevent the development of the disease.",14,13
"669","es","en","Los datos fueron recolectados con cuestionarios y entrevistas semi-estructuradas.","Data were collected using questionnaires and semi-structured interviews.",8,9
"735","es","en","Analizamos tiempo de evolución, técnica de detorsión, evolución y complicaciones.","Description of symptoms, detorsion technique, follow-up and complications.",8,10
"454","es","en","Estudio descriptivo de prevalencia de asma, rinitis y eccema y la relación con el consumo de alimentos.","Descriptive study on the prevalence of asthma, rhinitis and eczema and their correlation with food consumption.",16,17
"690","es","en","Pese a su poca frecuencia, esta patología comporta una mortalidad importante y debe tenerse presente ante un paciente en shock en la sala de urgencias.","Despite its low frequency, this pathology involves significant mortality and must be present in the patient in shock in the emergency room.",22,25
"461","es","en","El diagnóstico y el tratamiento de esta enfermedad constituyen un desafío, debido a su manifestación clínica inespecífica y su naturaleza recurrente.","Diagnosis and treatment of this disease is a challenge due to its non-specific clinical manifestation and its recurrent nature.",19,21
"578","es","en","El diagnostico de enfermedad de Lafora se realiza mediante hallazgos clinicos, electrofisiologicos, histologicos y geneticos.","Diagnosis of Lafora disease is made through clinical, electrophysiological, histological and genetic findings.",13,15
"419","es","en","El diagnóstico de tumor neuroendocrino primario de hígado (TNEPH) debe realizarse mediante la exclusión de tumores neuroendócrinos extrahepáticos y la confirmación histológica.","Diagnosis of primary hepatic neuroendocrine tumors (PHNET) should be performed by excluding extrahepatic NETs and through histological confirmation.",18,22
"572","es","en","Debe favorecerse la detección temprana para aumentar la frecuencia de mejoría visual posoperatoria.","Early detection should be favored, to increase the frequency of postoperative visual improvement.",13,13
"732","es","en","Los estudios enzimáticos y moleculares confirmaron el diagnóstico de leu-codistrofia metacromática infantil tardía.","Enzymatic and molecular studies confirmed a diagnosis of late childhood metachromatic leukodystrophy.",12,13
"609","es","en","Se pueden lograr mayores tasas de aceptabilidad educando a los proveedores de atención médica para que recomienden la vacuna contra el VPH a sus pacientes.","Even higher rates of acceptability may be achieved by educating healthcare providers to recommend HPV vaccine to their patients.",19,25
"610","es","en","Los ejemplos incluyen el control de depredadores y la reducción de parásitos de nido.","Examples include predator control and nest parasite reduction.",8,14
"588","es","en","Cuatro de diez publicaciones de la RPMESP corresponden a artículos originales u originales breves.","Four of ten publications of the RPMESP correspond to brief original or original articles.",14,14
"740","es","en","Es necesario series más amplias y realizar estudios prospectivos para establecer su seguridad y eficacia.","Further studies may be necessary to establish its safety and indications.",11,15
"625","es","en","Dado el subregistro de casos existentes, la carga de enfermedad real se desconoce.","Given the under-recording of existing cases, the actual burden of disease is unknown.",13,13
"623","es","en","Dada la incertidumbre sobre las dinámicas poblacionales de los artrópodos hematófagos, una estrategia de manejo adaptativo podría ofrecer beneficios sustanciales.","Given uncertainty about the population dynamics of blood-feeding arthropods, an adaptive management approach could offer substantial benefits.",17,20
"466","es","en","Grupo 1: incluyó 40 pacientes que hicieron un seguimiento estándar y grupo 2 con 40 pacientes que fueron seguidos con televisitas además del seguimiento estándar.","Group 1 included 40 patients who were followed-up with standard rounds and group 2 included 40 patients who were followed-up with telerounding in addition to standard rounds.",26,23
"464","es","en","Recibió terapia adyuvante con bevacizumab endovenoso, con muy buena respuesta.","He received adjuvant therapy with intravenous Bevacizumab with very good response.",11,10
"503","es","en","El diagnóstico histopatológico fue de histiocitosis de células de Langerhans.","Histopathological diagnosis was histiocytosis of Langerhans cells.",7,10
"644","es","en","El estudio histopatológico mostró pulmones de mayor peso, atelectasias, edema intersticial y alveolar, y membranas hialinas.","Histopathology revealed heavy lungs, atelectasis, interstitial and alveolar edema, as well as hyaline membranes.",14,16
"469","es","en","Sin embargo, los hallazgos del presente estudio no infravaloran la importancia de la interacción personal paciente-cirujano.","However the findings of the present study donot underestimate the importance of personal surgeon-patient interaction.",15,16
