"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"191","fr","en","Les analyses de différents scénarios permettent d’estimer les changements dans les taux d’accès aux traitements spécialisés et aux trajectoires de traitement.","""What-if"" analyses assess changes to Specialist Treatment Access Rates and treatment pathways.",12,21
"219","fr","en","(2014) dans leur analyse de rapports publiés sur des programmes d’EIP mis en place dans des pays industrialisés.","(2014), where they analysed published reports of IPE programmes in developed countries.",12,18
"174","fr","en","Traditionnellement, le médecin a concentré ses efforts sur la maîtrise de la connaissance médicale.","[Knowing how to deliver healthcare is now as important as having medical knowledge].",13,14
"251","fr","en","Un large spectre de maladies vasculaires caractérisées par une atteinte primaire des vaisseaux peut être associé à une insuf- fisance rénale aiguë.","A broad spectrum of vascular disease characterized by primary vessel involvement may be associated with acute renal failure.",18,22
"79","fr","en","Une étude communautaire transversale a été réalisée et des informations ont été recueillies au moyen d’un document structuré précodé lors de visites porte-à-porte.","A community-based cross-sectional study was conducted and information was collected through house-tohouse visits using precoded structured records.",17,23
"255","fr","en","Démarche diagnostique devant une insuffisance rénale aiguë.","A diagnostic procedure for acute kidney injury.",7,7
"388","fr","en","Une supplémentation en Zinc pourrait alors être proposée.","A zinc supplementation could then be offered.",7,8
"82","fr","en","D’après cet indice composite, 21 % des enfants présentaient une seule insuffisance anthropométrique et 49,2 % présentaient des insuffisances multiples.","According to CIAF, 21% had a single anthropometric failure and 49.2% exhibited multiple failures.",14,20
"360","fr","en","Les douleurs aiguës ou chroniques de la jambe sont un motif fréquent de consultation.","Acute or chronic leg pain is a common reason for consultation.",11,14
"100","fr","en","Après 1 semaine, les souvenirs des membres de l’équipe chirurgicale étaient tous imprécis en ce qui concerne même certains éléments majeurs des interventions.","After 1 week, members of the surgical team were universally inaccurate in their recollection of even major details from the operating room.",22,23
"268","fr","en","Dans le quotidien, l’éviction de l’aliment en cause est la règle, avec une prévention réfléchie du risque d’allergie associée.","Allergen avoidance is currently best to avoid an allergic reaction.",10,19
"329","fr","en","Parmi les patients âgés, l’incidence la plus élevée d’épisodes de délire s’observe chez les patients opérés.","Among older inpatients, the highest incidence of delirium is within the surgical population.",13,16
"270","fr","en","Un examen invasif de type amniocentèse est nécessaire pour une confirmation diagnostique.","An invasive examination such as amniocentesis is necessary for a diagnostic confirmation.",12,12
"21","fr","en","Une analyse a été menée à l’aide du logiciel STATA (version 12).","Analysis was carried out using STATA version 12.",8,12
"73","fr","en","Évaluation de la dénutrition à l’aide de l’indice composite d’insuffisance anthropométrique chez les enfants de moins de cinq ans au Yémen rural.","Assessment of undernutrition using Composite Index of Anthropometric Failure among children aged < 5 years in rural Yemen.",18,22
"12","fr","en","Au niveau politique, un travail considérable reste à effectuer et une intensification des programmes intersectoriels est nécessaire afin de sensibiliser davantage le public.","At a policy level, much remains to be done and intensified intersectoral programmes are required to improve public awareness.",19,23
"195","fr","en","Initialement, 14 581 personnes présentaient un PBÉTSSDA (2,43% des adultes) et le taux d’accès aux traitements spécialisés est de 10,84%.","At baseline, 14,581 people are PINASTFAD (2.43% of adults) and the Specialist Treatment Access Rate is 10.84%.",17,20
"249","fr","en","Sur le plan décisionnel, l’analyse génétique somatique large des tumeurs devient prépondérante, alors que l’addition de biomarqueurs plus spécifiques est encore nécessaire concernant l’immunothérapie.","At the decision-making level, a large somatic genetic analysis is becoming dominant, whereas the addition of more specific biomarkers is still needed regarding immunotherapy.",24,24
"87","fr","en","Dans le cadre d’essais cliniques, les cellules CAR-T anti-CD19 ont montré une efficacité importante dans les leucémies et les lymphomes B en rechute ou réfractaires.","Autologous T cells engineered to express a CAR targeting CD19 have shown unprecedented efficacy in clinical trials for relapsed/refractory B-cell leukemias and lymphomas.",23,25
"205","fr","en","Il est essentiel de prendre conscience des risques liés au contact avec des animaux enragés.","Awareness of the risk of contact with rabid animals is crucial.",11,15
"362","fr","en","Le pronostic fonctionnel du membre ainsi que le pronostic vital peuvent être engagés.","Both functional and vital prognosis can be engaged.",8,13
"15","fr","en","La césarienne est une intervention obstétricale pouvant sauver des vies qui permet de réduire la mortalité maternelle et d’améliorer la santé génésique.","Caesarean section (C-section) is a life-saving obstetric procedure that reduces maternal mortality and improves reproductive health.",16,22
"346","fr","en","Les lignées cellulaires d’ostéosarcome canin D17 et Dharma ont été traitées par irradiation, le pamidronate et le zolédronate seuls et en association.","Canine osteosarcoma cell lines D17 and Dharma were treated with radiation and pamidronate or zoledronate, both alone and in combination.",20,22
"365","fr","en","Les vaccins actuels contre la rage sont sûrs et très efficaces lorsqu’ils sont administrés correctement.","Current rabies vaccines are safe and, when administered properly, they are highly effective.",13,15
"267","fr","en","Les recommandations pour la prévention de l’AA prévoient une introduction, puis l’administration régulière des aliments à risque selon le schéma habituel, non retardé.","Current recommendations are favouring introduction of potentially allergenic foods according to usual, non-delayed, practices.",14,23
"199","fr","en","Les décideurs peuvent estimer l’incidence potentielle de la variation des taux d’accès aux traitements spécialisés pour la dépendance à l’alcool.","Decision makers can estimate the potential impact of changing Specialist Treatment Access Rates for alcohol dependence.",16,20
"334","fr","en","La durée des épisodes de délire a été notée.","Delirium duration was recorded.",4,9
"244","fr","en","Malgré la récupération de la fonction rénale antérieure, cette dernière est anormale sur le plan cellulaire.","Despite a functional recovery, the cellular repair is abnormal.",9,16
"11","fr","en","Malgré l’importance du régime alimentaire et de l’activité physique dans la prévention du diabète, des écarts significatifs existent dans l’éducation du public.","Despite the importance of diet and exercise for diabetes prevention, significant gaps in public education clearly exist.",17,22
"113","fr","en","Néanmoins, peu d’attention a été accordée à ce que ceux-ci perçoivent comme des entraves à discuter d’une GRDV avec leurs patients.","Despite this, little attention has been paid to what they identify as barriers to discussing LDKT with their patients.",19,21
"286","fr","en","Les détails de la structure du projet sont décrits, avec notamment un aperçu des considérations liées à l’élaboration du programme d’enseignement.","Details of the project plan are described, including an overview of curriculum development considerations.",14,21
"279","fr","en","Développement d’un programme d’enseignement national fondé sur les compétences pour les infirmiers techniciens en Égypte.","Developing a national competency-based curriculum for technical nurses in Egypt.",10,15
"105","fr","en","Diagnostic et traitement de la primo-infection par le VIH : le plus tôt est le mieux !","Diagnosis and treatment of HIV primary infection : the earlier, the better !",13,17
"348","fr","en","Des diminutions dépendantes de la dose de la survie clonogénique et de la viabilité cellulaire ont été observées pour le traitement par rayonnement et par bisphosphonate.","Dose-dependent decreases in clonogenic survival and cell viability were observed for both radiation and bisphosphonate treatment.",16,26
"306","fr","en","La diversité antigénique des NoV et le manque d’immunité protectrice à long terme rendent la mise au point de vaccins difficile.","Due to antigenically diverse NoV strains and the lack of long term immunity, the development of an effective vaccine is difficult.",21,21
"71","fr","en","Les crises épileptiques sont imprévisibles et peuvent se produire n’importe où.","Epileptic seizures occur with unpredictable frequency in unexpected place.",9,11
"277","fr","en","Les signes extrarénaux sont souvent absents, la protéinurie est tubulaire et de faible débit, associée à une leucocyturie fréquente.","Extrarenal symptoms are often absent and proteinuria is usually mild with no albuminuria, associated with aseptic leukocyturia.",17,19
