"","X","Satz.1.id","Satz.1.TranslatorSource","Satz.1.BLEU","Satz.1.ROUGE","Satz.1.BLEURT","Satz.2.id","Satz.2.TranslatorSource","Satz.2.BLEU","Satz.2.ROUGE","Satz.2.BLEURT","Original","Expected","Satz.1","Satz.2","Similarity.rating.DP","Similarity.rating.TS","Comments.TS","Comments.DP","Translation.rating.TS","Wrong.translation.TS","Comments.TS.1","Similarity.rating.BLEU","Similarity.rating.ROUGE","Similarity.rating.BLEURT","testBLEU.DP.rating","testROUGE.DP.rating","testBLEURT.DP.rating","testBLEU.TS.rating","testROUGE.TS.rating","testBLEURT.TS.rating"
"1","1","8141","CEF","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000657035122518968","0.1","-1.14387798309326","45152","Google","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000511699467923189","0.0909090909090909","-1.29067718982697","Tierarzneimittel drfen nicht mit dem Abwasser bzw. ber die Kanalisation entsorgt werden.","These measures should help to protect the environment.","Veterinary medicinal products should not be disposed of via wastewater or sewers.","Veterinary medicinal products must not be disposed of with wastewater or the sewer system.","E","E","Should vs. must vs. may could be important for meedical decisions","","<","","Should vs. must vs. may could be important for meedical decisions",">",">",">","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"2","2","8141","CEF","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000657035122518968","0.1","-1.14387798309326","26648","Deepl","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003985119","0.08333333","-1.170049","Tierarzneimittel drfen nicht mit dem Abwasser bzw. ber die Kanalisation entsorgt werden.","These measures should help to protect the environment.","Veterinary medicinal products should not be disposed of via wastewater or sewers.","Veterinary medicinal products must not be disposed of with waste water or via the sewage system.","E","E","","","<","","",">",">",">","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"3","3","8141","CEF","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000657035122518968","0.1","-1.14387798309326","63657","IBM","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273892988172973","0.0740740740740741","-1.14346992969513","Tierarzneimittel drfen nicht mit dem Abwasser bzw. ber die Kanalisation entsorgt werden.","These measures should help to protect the environment.","Veterinary medicinal products should not be disposed of via wastewater or sewers.","Veterinary medicinal products must not be used with waste water or can be disposed of via the sewer system.","E","E","","",">","Satz.2","",">",">","<","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"4","4","45152","Google","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000511699467923189","0.0909090909090909","-1.29067718982697","26648","Deepl","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003985119","0.08333333","-1.170049","Tierarzneimittel drfen nicht mit dem Abwasser bzw. ber die Kanalisation entsorgt werden.","These measures should help to protect the environment.","Veterinary medicinal products must not be disposed of with wastewater or the sewer system.","Veterinary medicinal products must not be disposed of with waste water or via the sewage system.","E","E","","","=","","",">",">","<","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"5","5","45152","Google","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000511699467923189","0.0909090909090909","-1.29067718982697","63657","IBM","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273892988172973","0.0740740740740741","-1.14346992969513","Tierarzneimittel drfen nicht mit dem Abwasser bzw. ber die Kanalisation entsorgt werden.","These measures should help to protect the environment.","Veterinary medicinal products must not be disposed of with wastewater or the sewer system.","Veterinary medicinal products must not be used with waste water or can be disposed of via the sewer system.","E","E","","",">","","",">",">","<","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"6","6","26648","Deepl","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003985119","0.08333333","-1.170049","63657","IBM","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273892988172973","0.0740740740740741","-1.14346992969513","Tierarzneimittel drfen nicht mit dem Abwasser bzw. ber die Kanalisation entsorgt werden.","These measures should help to protect the environment.","Veterinary medicinal products must not be disposed of with waste water or via the sewage system.","Veterinary medicinal products must not be used with waste water or can be disposed of via the sewer system.","E","E","","",">","","",">",">","<","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"7","7","24324","Deepl","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008844844","0.07692308","-0.2702754","42828","Google","0","0.08","-0.457463264465332","Es kann sein, dass die Anwendung von Fluoxetin beendet werden muss.","Treatment with fluoxetine should only be started 2 weeks after discontinuation of an irreversible MAOI (for instance tranylcypromine).","It may be necessary to stop using fluoxetine.","You may need to stop using fluoxetine.","E","E","","possible mismatch of  sentences ""matching fluoxetin""",">","","",">","<",">","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"8","8","24324","Deepl","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008844844","0.07692308","-0.2702754","61333","IBM","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116404698675137","0.133333333333333","-0.569672763347626","Es kann sein, dass die Anwendung von Fluoxetin beendet werden muss.","Treatment with fluoxetine should only be started 2 weeks after discontinuation of an irreversible MAOI (for instance tranylcypromine).","It may be necessary to stop using fluoxetine.","It may be that the application of fluoxetine has to be terminated.","E","E","","",">","","","<","<",">","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"9","9","24324","Deepl","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008844844","0.07692308","-0.2702754","5817","CEF","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116404698675137","0.148148148148148","-0.226913392543793","Es kann sein, dass die Anwendung von Fluoxetin beendet werden muss.","Treatment with fluoxetine should only be started 2 weeks after discontinuation of an irreversible MAOI (for instance tranylcypromine).","It may be necessary to stop using fluoxetine.","The use of fluoxetine may have to be stopped.","E","E","","",">","","","<","<","<","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"10","10","42828","Google","0","0.08","-0.457463264465332","61333","IBM","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116404698675137","0.133333333333333","-0.569672763347626","Es kann sein, dass die Anwendung von Fluoxetin beendet werden muss.","Treatment with fluoxetine should only be started 2 weeks after discontinuation of an irreversible MAOI (for instance tranylcypromine).","You may need to stop using fluoxetine.","It may be that the application of fluoxetine has to be terminated.","E","E","","",">","","","<","<",">","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"11","11","42828","Google","0","0.08","-0.457463264465332","5817","CEF","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116404698675137","0.148148148148148","-0.226913392543793","Es kann sein, dass die Anwendung von Fluoxetin beendet werden muss.","Treatment with fluoxetine should only be started 2 weeks after discontinuation of an irreversible MAOI (for instance tranylcypromine).","You may need to stop using fluoxetine.","The use of fluoxetine may have to be stopped.","E","E","","","=","","","<","<","<","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
